Target,Source
WA_BA_T_BE_250_Minergie-P Hinterlüftet,WA_BE_T_BE_250_Basis Aussenwand UI_0001 470
WA_BA_T_BE_250_Minergie-P Hinterlüftet,WA_BE_T_BE_250_Basis UG Wand_0001 430
WA_BA_T_BE_250_Minergie-P Hinterlüftet,WA_BB_T_BE_280_Basis Treppenhauswand_0001 300
WA_BA_T_BE_250_Minergie-P Hinterlüftet,WA_BA_T_HO_240_Basis Holzfassade_0001 (W23) 390
WA_BA_T_BE_250_Minergie-P Hinterlüftet,WA_BB_N_LB_100_Basis Innen-trennwand_0001 140
WA_BA_T_BE_250_Minergie-P Hinterlüftet,WA_AA_N_HO_160_Geräteraum_xxxx 257
BO_BE_T_BE_250_Bodenplatte EG Warm ohne aktiv Beheizung,BO_BE_T_BE_250_Bodenplatte_xxxx 610
DE_BU_T_BE_300_Decke über TG,DE_BU_T_BE_260_Basis Boden EG_0001 550
DE_BU_T_BE_300_Decke über TG,DE_BA_T_BE_260_Basis Boden vorprung OG_0001 550
DE_BU_T_BE_300_Decke über TG,DA_AA_T_BE_300_Terrasse_xxxx 429
DA_BA_T_HO_175_Flachdach begrünt,DA_BA_T_HO_160_Basis Flachdach begrünt_0001 545
DE_BU_T_BE_300_Decke über TG,DE_BB_T_BE_300_Geschossdecke RG_xxxx 410
2-Flügelfenster 24,Hebe-Schiebetüre 2-teilig 25
2-Flügelfenster 24,1-Flügelfenster 25
2-Flügelfenster 24,Oblicht Glaskuppel 3 25
Tür-001,Blockrahmen 1 25
Tür-001,Blockfutter 25
Tür-001,Schiebetür 02 1-Fl 25
